PUBLICATION,EXTRACT_DATE,ORG_TYPE,ORG_CODE,ONS_CODE,SEX,AGE,NUMBER_OF_PATIENTS
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,0,52215
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,1,57219
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,10,59781
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,11,58979
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,12,57979
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,13,55527
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,14,53497
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,15,52581
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,16,51729
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,17,50019
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,18,49828
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,19,52354
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,2,59458
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,20,56332
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,21,61306
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,22,72708
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,23,85015
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,24,93147
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,25,95432
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,26,97886
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,27,104012
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,28,106773
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,29,109424
